iter	Passed	Remaining
0	1	182
1	3	171
2	5	173
3	6	155
4	7	151
5	9	149
6	11	148
7	12	144
8	14	144
9	15	142
10	17	140
11	19	140
12	20	137
13	22	136
14	24	136
15	25	135
16	27	134
17	29	132
18	30	130
19	31	127
20	33	125
21	34	123
22	36	122
23	38	120
24	39	119
25	41	117
26	42	115
27	44	114
28	45	112
29	47	110
30	48	108
31	50	106
32	51	104
33	53	103
34	54	101
35	56	99
36	57	98
37	59	96
38	60	95
39	62	93
40	63	91
41	64	88
42	65	87
43	67	86
44	68	84
45	70	82
46	72	81
47	73	79
48	75	78
49	77	77
50	78	75
51	80	74
52	81	72
53	83	71
54	85	69
55	86	68
56	88	66
57	89	64
58	90	63
59	92	61
60	94	60
61	96	58
62	97	57
63	99	56
64	101	54
65	103	53
66	104	51
67	106	50
68	107	48
69	109	46
70	111	45
71	112	43
72	114	42
73	115	40
74	117	39
75	119	37
76	120	36
77	122	34
78	123	32
79	125	31
80	127	29
81	129	28
82	130	26
83	132	25
84	133	23
85	135	22
86	136	20
87	138	18
88	139	17
89	141	15
90	142	14
91	144	12
92	146	10
93	147	9
94	149	7
95	150	6
96	152	4
97	153	3
98	155	1
99	156	0
