iter	Passed	Remaining
0	135	135350
1	137	68491
2	138	46099
3	140	34980
4	142	28387
5	147	24492
6	149	21168
7	150	18696
8	152	16788
9	157	15573
10	159	14379
11	166	13697
12	168	12807
13	170	12034
14	172	11329
15	173	10694
16	178	10298
17	182	9965
18	184	9512
19	185	9108
20	188	8765
21	192	8539
22	194	8251
23	195	7960
24	197	7701
25	199	7459
26	202	7300
27	207	7190
28	208	6990
29	210	6794
30	211	6619
31	213	6458
32	216	6341
33	220	6263
34	222	6146
35	224	6009
36	226	5887
37	228	5787
38	231	5700
39	232	5589
40	235	5508
41	237	5411
42	238	5315
43	241	5244
44	244	5180
45	245	5091
46	250	5079
47	252	5003
48	253	4927
49	256	4878
50	258	4804
51	259	4734
52	266	4761
53	271	4764
54	274	4711
55	275	4651
56	280	4634
57	282	4580
58	283	4522
59	287	4497
60	288	4443
61	290	4389
62	293	4365
63	296	4331
64	297	4279
65	301	4259
66	302	4213
67	304	4170
68	305	4124
69	310	4119
70	312	4091
71	315	4072
72	317	4033
73	319	3996
74	321	3959
75	326	3964
76	327	3931
77	329	3896
78	331	3862
79	332	3828
80	336	3816
81	341	3823
82	342	3781
83	343	3749
84	345	3717
85	346	3686
86	349	3664
87	351	3642
88	355	3637
89	357	3611
90	358	3585
91	360	3557
92	362	3531
93	365	3524
94	369	3523
95	372	3510
96	375	3496
97	377	3477
98	380	3458
99	384	3464
100	387	3445
101	388	3424
102	390	3401
103	392	3382
104	394	3360
105	395	3336
106	398	3329
107	400	3307
108	401	3286
109	403	3267
110	405	3247
111	407	3229
112	409	3212
113	414	3218
114	415	3201
115	417	3181
116	418	3161
117	420	3145
118	422	3126
119	424	3109
120	425	3093
121	430	3100
122	433	3093
123	435	3077
124	437	3061
125	438	3044
126	440	3026
127	444	3028
128	447	3018
129	449	3010
130	452	3000
131	454	2989
132	463	3019
133	466	3012
134	468	2998
135	469	2985
136	475	2995
137	478	2990
138	481	2981
139	483	2967
140	484	2951
141	485	2935
142	490	2939
143	494	2939
144	496	2925
145	497	2910
146	499	2897
147	501	2884
148	506	2891
149	510	2891
150	512	2878
151	513	2866
152	515	2852
153	516	2839
154	521	2844
155	524	2838
156	526	2828
157	528	2816
158	529	2803
159	531	2790
160	532	2774
161	539	2790
162	540	2777
163	542	2764
164	543	2751
165	545	2739
166	546	2727
167	550	2725
168	554	2725
169	555	2714
170	557	2701
171	558	2690
172	560	2678
173	561	2667
174	565	2665
175	566	2654
176	568	2643
177	573	2646
178	574	2636
179	580	2642
180	581	2633
181	583	2622
182	584	2611
183	588	2608
184	590	2599
185	593	2598
186	596	2592
187	598	2583
188	599	2573
189	602	2570
190	604	2562
191	606	2553
192	609	2549
193	611	2540
194	612	2530
195	616	2528
196	617	2519
197	619	2510
198	624	2515
199	626	2505
200	629	2501
201	631	2496
202	633	2487
203	635	2478
204	640	2485
205	644	2484
206	646	2478
207	648	2468
208	649	2459
209	653	2457
210	656	2453
211	661	2459
212	663	2450
213	664	2440
214	666	2432
215	668	2427
216	671	2421
217	674	2417
218	675	2409
219	677	2400
220	678	2391
221	682	2390
222	684	2384
223	686	2377
224	687	2368
225	689	2360
226	690	2351
227	692	2343
228	697	2347
229	699	2342
230	701	2335
231	703	2327
232	704	2319
233	706	2311
234	711	2315
235	713	2311
236	715	2302
237	717	2295
238	718	2288
239	719	2279
240	724	2280
241	727	2278
242	728	2270
243	730	2263
244	734	2262
245	735	2255
246	740	2256
247	741	2249
248	743	2241
249	744	2234
250	747	2230
251	749	2224
252	750	2216
253	754	2217
254	756	2211
255	759	2206
256	761	2202
257	764	2197
258	766	2192
259	769	2191
260	771	2184
261	773	2178
262	775	2172
263	776	2165
264	778	2159
265	779	2151
266	781	2145
267	785	2144
268	786	2138
269	790	2137
270	792	2132
271	794	2126
272	796	2119
273	800	2120
274	802	2116
275	804	2110
276	807	2107
277	809	2101
278	810	2095
279	816	2098
280	819	2098
281	821	2091
282	822	2084
283	824	2079
284	826	2072
285	832	2079
286	837	2079
287	839	2074
288	840	2068
289	842	2062
290	845	2060
291	850	2061
292	852	2056
293	854	2051
294	864	2066
295	866	2061
296	868	2055
297	870	2050
298	879	2061
299	882	2058
300	883	2052
301	886	2047
302	891	2050
303	894	2047
304	895	2041
305	899	2039
306	904	2041
307	908	2040
308	911	2038
309	913	2032
310	914	2026
311	916	2021
312	922	2024
313	924	2019
314	925	2013
315	929	2012
316	934	2014
317	938	2011
318	939	2006
319	942	2002
320	945	2000
321	947	1994
322	952	1996
323	954	1990
324	955	1985
325	960	1985
326	962	1980
327	966	1979
328	969	1976
329	970	1970
330	975	1970
331	976	1965
332	978	1960
333	983	1961
334	985	1955
335	988	1952
336	990	1949
337	992	1943
338	994	1938
339	999	1940
340	1001	1935
341	1005	1935
342	1007	1929
343	1009	1924
344	1014	1926
345	1016	1920
346	1019	1919
347	1021	1914
348	1023	1909
349	1030	1913
350	1035	1913
351	1036	1908
352	1038	1903
353	1039	1897
354	1043	1895
355	1045	1891
356	1046	1885
357	1048	1880
358	1053	1880
359	1056	1878
360	1059	1875
361	1062	1872
362	1069	1876
363	1072	1873
364	1074	1868
365	1076	1864
366	1082	1867
367	1085	1864
368	1087	1859
369	1089	1855
370	1092	1852
371	1095	1849
372	1100	1849
373	1101	1844
374	1103	1839
375	1106	1835
376	1109	1833
377	1111	1828
378	1115	1828
379	1117	1823
380	1119	1819
381	1122	1815
382	1124	1810
383	1125	1805
384	1130	1805
385	1132	1801
386	1134	1797
387	1137	1794
388	1140	1792
389	1144	1790
390	1146	1785
391	1148	1780
392	1149	1775
393	1151	1771
394	1153	1767
395	1155	1762
396	1158	1759
397	1161	1756
398	1162	1751
399	1164	1747
